"","LEP","UHY","site","year"
"619",NA,NA,"HU98",2004
"620",NA,NA,"HU98",2005
"621",0.00325805826175,0.0244216621587,"MI11",1998
"622",0.00550355339061,NA,"MI11",1999
"623",NA,NA,"MI11",2000
"624",NA,0.097503122292,"MI11",2001
"625",NA,0.09845,"MI11",2002
"626",5.71924575971,NA,"MI11",2003
"627",0.0351981340213,NA,"MI11",2004
"628",0.118315733127,NA,"MI11",2005
"629",-0.0492574074384,NA,"MI11",2006
"630",NA,NA,"MI11",2007
"631",0.173141017438,NA,"MI11",2008
"632",NA,NA,"MI11",2009
"633",NA,NA,"MI11",2010
"634",NA,NA,"MI11",2011
"635",NA,NA,"MI11",2012
"636",0.0151354816049,0.147300735931,"MI17",1998
"637",0.00178860389694,NA,"MI17",1999
"638",0.0142841423534,0.326370048712,"MI17",2000
"639",NA,0.0809762563133,"MI17",2001
"640",NA,0.0606375,"MI17",2002
"641",0.716321910973,NA,"MI17",2003
"642",1.07533514197,NA,"MI17",2004
"643",0.579692305474,NA,"MI17",2005
"644",0.839210961996,NA,"MI17",2006
"645",NA,NA,"MI17",2007
"646",NA,NA,"MI17",2008
"647",NA,NA,"MI17",2009
"648",NA,NA,"MI17",2010
"649",NA,NA,"MI17",2011
"650",NA,NA,"MI17",2012
"651",NA,NA,"MI17",2013
"652",0.0122062815664,NA,"MI18",1998
"653",0.0493597456736,NA,"MI18",1999
"654",0.033025,NA,"MI18",2000
"655",3.41655818915,0.109362600115,"MI18",2001
"656",0.0475375,0.1212125,"MI18",2002
"657",0.526134992949,NA,"MI18",2003
"658",0.310538862774,NA,"MI18",2004
"659",0.0866789228149,NA,"MI18",2005
"660",0.400304715127,0.101167021248,"MI18",2006
"661",0.123442427431,0.0808956200062,"MI18",2007
"662",0.0850056169851,NA,"MI18",2008
"663",0.112462103246,0.0137691245536,"MI18",2009
"664",NA,NA,"MI18",2010
"665",1.30442531507,0.181767283204,"MI18",2011
"666",NA,NA,"MI18",2012
"667",NA,NA,"MI18",2013
"668",0.00283327381104,0.0587999630176,"MI19",1998
"669",-0.00728614357138,NA,"MI19",1999
"670",0.320322767914,0.200102044546,"MI19",2000
"671",NA,0.00732738636074,"MI19",2001
"672",NA,0.147025,"MI19",2002
"673",0.0490963203436,NA,"MI19",2003
"674",0.0523961417767,NA,"MI19",2004
"675",0.386624323426,NA,"MI19",2005
"676",0.748777383267,NA,"MI19",2006
"677",NA,NA,"MI19",2007
"678",NA,NA,"MI19",2008
"679",NA,NA,"MI19",2009
"680",NA,NA,"MI19",2010
"681",NA,NA,"MI19",2011
"682",NA,NA,"MI19",2012
"683",NA,NA,"MI19",2013
"684",0.0167168894372,0.0435919417382,"MI23",1998
"685",0.00926767766954,NA,"MI23",1999
"686",NA,0.719385632163,"MI23",2000
"687",NA,0.0817603553391,"MI23",2001
"688",NA,0.0716375,"MI23",2002
"689",0.150933206191,NA,"MI23",2003
"690",1.03197473849,NA,"MI23",2004
"691",0.14531895796,NA,"MI23",2005
"692",0.19238360272,NA,"MI23",2006
"693",NA,NA,"MI23",2007
"694",NA,NA,"MI23",2008
"695",NA,NA,"MI23",2009
"696",NA,NA,"MI23",2010
"697",NA,NA,"MI23",2011
"698",NA,NA,"MI23",2012
"699",NA,NA,"MI23",2013
"700",NA,NA,"MI27",1998
"701",0.0187526758748,NA,"MI27",1999
"702",0.0627166369055,0.378325877516,"MI27",2000
